Title,Company,Experience,Location,Ratings,Salary,Job_Type,Posted,Required Skills,Job Requirment
Data Science/Analysis Expert - Machine Learning,Catalyst,2-6 Yrs,Bangalore/Bengaluru,,Not disclosed,HOT JOB,4 DAYS AGO,"IT Skills
Python
Data Science
Machine Learning
Tableau
NLP
Data Scientist
Artificial Intelligence",Job Requirements : - BTech From Tier 1 Institute OR BSTAT & MSTAT From ISI OR Masters i...
Data Science / NLP / ML / AI / Python Developer -Product Based Company,Cunesoft India Private Limited (a Phlexglobal Company),3-8 Yrs,Bangalore/Bengaluru,,Not disclosed,HOT JOB,5 DAYS AGO,"C#
scikit learn
Text Mining
NimbusML
Microsoft Visual Studio
Machine Learning
Neural Networks
numpy",Must have very good understanding of GITGood knowledge of Microsoft Visual Studio is pr...
Mindtree is hiring For Data Science,Mindtree Limited,2-7 Yrs,"Chennai, Bangalore/Bengaluru",4.0,Not disclosed,HOT JOB,6 DAYS AGO,"Data Science
python
Machine Learning",The Data Scientist would be responsible for delivering value to the customer by deliver...
Analyst-Data Science,Accenture Solutions Pvt Ltd,3-5 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,6 DAYS AGO,"Analyst
Statistical analysis
Publishing
data science
Architecture
Artificial Intelligence
Consulting
Individual Contributor",Skill required: Data Science - Statistical Analysis Designation: Management Level - Ana...
Analyst-Data Science,Accenture Solutions Pvt Ltd,3-5 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,6 DAYS AGO,"Business administration
Publishing
data science
Architecture
Machine learning
Consulting
Individual Contributor
Analytics",Skill required: Data Science - Machine Learning Designation: Management Level - Analyst...
Pricing Analyst & Data Science,"India Medtronic Pvt. Ltd,.",5-10 Yrs,"Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)
(WFH during Covid)",3.8,"20,00,000 - 35,00,000 PA.",PREMIUM,7 DAYS AGO,"Data Science
Power Bi
Pricing Analytics
Pricing Analysis
MySQL
Tableau
Pricing Strategy
SQL",IIT / Btech+MBA (Preferred) Experience of working in a multi-national corporate structu...
Analytics Data science and IOT Lead,Hexaware Technologies Ltd.,9-12 Yrs,Bangalore/Bengaluru,3.5,Not disclosed,PREMIUM,,"Science workbench
Postgre
Python
Azure cloud
MLOPs
Redwood
SQL
DevOps",Good to have (not must to have) experience in MLOPs/ DevOps Good to have prior experien...
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Business administration
Publishing
Architecture
management","You are required to understand the strategic direction set by senior management, clearl..."
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"Publishing
data science
Architecture
management
Artificial Intelligence
Business Economics
Machine learning
Consulting",Skill required: Data Science - Machine Learning Designation: Management Level - Team Le...
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"Business administration
Publishing
data science
Architecture
Project management
Artificial Intelligence
Machine learning
Consulting","You are required to understand the strategic direction set by senior management, clearl..."
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Publishing
Data management
Architecture
Consulting","You are required to understand the strategic direction set by senior management, clearl..."
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"Analytical skills
Statistical analysis
Publishing
data science
Architecture
management
Artificial Intelligence
Consulting",Skill required: Data Science - Statistical Analysis Designation: Management Level - Tea...
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Publishing
Data management
Architecture
Business Economics",Skill required: Data Science - Machine Learning Designation: Management Level - Team Le...
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"IT Skills
Python
Data Science
Artificial Intelligence
Power BI
Business administration
Publishing
Architecture","You are required to understand the strategic direction set by senior management, clearl..."
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Publishing
Statistical analysis
Architecture
Consulting",Skill required: Data Science - Machine Learning Designation: Management Level - Team Le...
Associate-Data Science,Accenture Solutions Pvt Ltd,1-3 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,,"Analytical skills
Publishing
Statistical analysis
Architecture
data science
Artificial Intelligence
Consulting
Individual Contributor",Skill required: Data Science - Statistical Analysis Designation: Management Level - Ass...
Analytics Data science and IOT Lead,Hexaware Technologies Ltd.,9-12 Yrs,Bangalore/Bengaluru,3.5,Not disclosed,PREMIUM,,"Kubeflow
DevOps
Singularity
Luigi
BI
BA
ClearML
Dockers",Good to have working exposure in common cloud environments and understanding of robust ...
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,8 DAYS AGO,"Analytical skills
Analyst
Interpersonal skills
Publishing
Statistical analysis
Architecture
data science
Consulting",Skill required: Data Science - Statistical Analysis Designation: Management Level - Sen...
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Mumbai,4.0,Not disclosed,PREFERRED,,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Analyst
Publishing
Architecture",Qualifications: Any Graduation / Bachelor s in Economics / BE/BTech Skill required: Dat...
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Mumbai,4.0,Not disclosed,PREFERRED,,"Business administration
Analyst
Publishing
Data management
Architecture
data science
Artificial Intelligence
Consulting","You will be required to utilize the existing frameworks, standards, patterns to create ..."
Data Science Manager,Poshmark,2-4 Yrs,Pune,,Not disclosed,,,"Data Science
Data Scientist
Scala
Computer Science
Big Data
Data Analysis
Machine Learning
Python",7+ years of experience in delivering scalable Machine Learning based solutions in a Big...
"Training and 100% placement on Java,Software testing,M.F& Data science",Magneq Software,24 August - 30 August,Hyderabad/Secunderabad(Begumpet),2.6,Not disclosed,WALK-IN,,"Aws
JAVA
Software testing
IT Skills
Testing
Data Science
Providing Training
Technical Skills",Candidate should possess good technical skills from academicsEligibility Criteria: 2017...
Sr Con - Machine Learning ( Data Science ),Pylon Management Consulting Pvt Ltd,4-7 Yrs,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)
(WFH during Covid)",,Not disclosed,PREMIUM,,"Data Science
Predictive Modeling
Artificial Intelligence
Statistical Modeling
Machine Learning",We are looking for experienced leaders with a strong analytics background (and overall ...
Manager Data Science,Reliance Jio Infocomm Ltd.,5-6 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,,4 DAYS AGO,"Report generation
Data management
Machine learning
Data structures
Business modeling
Mobile applications
Data warehousing
Predictive analytics",Maximum 5 Years above
Manager Data Science,Reliance Jio Infocomm Ltd.,5-9 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,,4 DAYS AGO,"Report generation
Data management
Machine learning
Data structures
Business modeling
Mobile applications
Data warehousing
Predictive analytics",Maximum 5 Years above
Manager Data Science,Reliance Jio Infocomm Ltd.,5-7 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,,5 DAYS AGO,"Report generation
Data management
Machine learning
Data structures
Business modeling
Mobile applications
Data warehousing
Predictive analytics","Specify, design, and implement new data science applications, methodologies, models, an..."
Data Science Engineer,IBM India Pvt. Limited,6-10 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,13 DAYS AGO,"Computer science
VMware
Cloud computing
Automation
data science
Debugging
Machine learning
Open source",Experience in creating and using advanced machine learning algorithms and statistics su...
Sr Associate - Data Science,EYGBS,3-7 Yrs,Bangalore/Bengaluru,3.5,Not disclosed,HOT JOB,4 DAYS AGO,"Data Science
R
Logistic Regression
Segmentation
Linear Regression
Time Series
Anova
Machine Learning",Job purpose - Data Science Part of a larger team in the R&A COE team to work on various...
Data Science Python Developer,Princeton IT Services Pvt Ltd,3-5 Yrs,"Chennai, Bangalore/Bengaluru, Mumbai (All Areas)
(WFH during Covid)",,Not disclosed,HOT JOB,4 DAYS AGO,"scipy
numpy
sklearn
statistical modeling
Django
Elastic search
Python
Flask",BE / B.TECH in computer science or mathematics with 4-6 years of experience in the foll...
Director/Head - Data Science - Natural Language Processing - EdTech,Its All About People (ITAAP),15-20 Yrs,"Bangalore/Bengaluru, Delhi",,Not disclosed,PREMIUM,,"Data Science
NLP
Data Scientist
Artificial Intelligence
Statistical Modeling
Machine Learning
Statistics
Analytics",An exciting opportunity exists for an experienced Data Scientist to join the newly esta...
Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,4-9 Yrs,Bangalore/Bengaluru,,Not disclosed,HOT JOB,,"YOLO
Docker
Artificial Intelligence
InceptionNet
CNN
Keras
Kubernetes
Resnet","Should have managed a team directly at-least for a year Hands On experience in Python, ..."
PROJECT MANAGER - DATA SCIENCE - CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,5-10 Yrs,Bangalore/Bengaluru,3.6,Not disclosed,PREMIUM,13 DAYS AGO,"Data analysis
data science
Simulation
Analytical
Agile methodology
Risk management
Data mining
Analytics",The role will involve taking accountability of end-to-end client management including a...
Analytics Data science and IOT Lead,Hexaware Technologies Ltd.,6-9 Yrs,Chennai,3.5,Not disclosed,PREMIUM,,"IT Skills
Python
Testing
Data Science
Machine Learning
Cloud
AWS
Computer science",graduate degree in Statistics or another quantitative field is preferred At least one c...
Data Science Digital Data Engineering Practitioner,Accenture Solutions Pvt Ltd,6-8 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,6 DAYS AGO,"IT Skills
Python
Data Science
Machine Learning
Big Data
Analytical skills
Data modeling
Consulting",Educational Qualification : a: Minimum 15 years of full time education Good To Have Ski...
Data Science Digital Data Engineering Practitioner,Accenture Solutions Pvt Ltd,15-18 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREMIUM,7 DAYS AGO,"communication
Data Science
Deep Learning
Data Visualization
Algorithms
Advanced Machine Learning
Machine Learning
Data Wrangling","Technical Experience : 1 Knowledge of Data Extraction using Machine Learning, Deep Lear..."
Data Science Application Developer,Accenture Solutions Pvt Ltd,6-8 Yrs,Hyderabad/Secunderabad,4.0,Not disclosed,PREFERRED,7 DAYS AGO,"Communication
Data Science
IT Skills
Business process
Data analysis
Networking
Consulting
Cloud",Technical Experience : 1 Overall exp should be 15 years 2 5-7 years of Data Scientist e...
Supply Chain Planning - Data Science and Transformation (All Levels),CHAINalytics,1-4 Yrs,Bangalore/Bengaluru,,Not disclosed,,4 DAYS AGO,"Business process
Supply chain management
Demand planning
data science
Analytical
Consulting
Market intelligence
Scheduling","Bachelor s degree in Logistics, Industrial Engineering, Information Systems, Supply Cha..."
Hiring For Manager - Data Science,EYGBS,11-15 Yrs,"Noida, Gurgaon/Gurugram, Bangalore/Bengaluru",3.5,Not disclosed,HOT JOB,4 DAYS AGO,"Data Science
AIML
cloud deployment
Machine Learning
Deep Learning
Python","The opportunity Were looking for a Manager Data Science, proficient in Machine Learning..."
Data and Analytics Specialist - Data Science Operations,Confidential,4-6 Yrs,Bangalore/Bengaluru,,Not disclosed,HOT JOB,5 DAYS AGO,"Mba Finance
R
Data Wrangling
Power Bi
Financial Accounting
Chartered Accountant
Data Analytics
MS Office",Has a good understanding of Statistics and modelling techniquesAdvanced MS Office appli...
Associate-Data Science,Accenture Solutions Pvt Ltd,1-3 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,6 DAYS AGO,"Publishing
Statistical analysis
Architecture
data science
Artificial Intelligence
Consulting
Management
Individual Contributor",Skill required: Data Science - Statistical Analysis Designation: Management Level - Ass...
Virtual Interviews For Data Science Profesionals On 28th Aug @ GD(Hyd),GlobalData,4-9 Yrs,"Hyderabad/Secunderabad(Kondapur)
(WFH during Covid)",3.7,Not disclosed,PREFERRED,,"Pytorch
Tensorflow
Data Science
NLP
Xgboost
Keras
Machine Learning
Deep Learning","HelloHope you are doing good.Urgent job openings for below positions for ""Data Science""..."
Artifical Intelligence / ML / Cognitive / Data Science,IBM India Pvt. Limited,0-1 Yrs,Delhi / NCR,4.0,Not disclosed,PREFERRED,13 DAYS AGO,"Artifical Intelligence / ML / Cognitive / Data Science
Software Engineer",Bachelors with Certifications in AI / ML/DL 10-14 years of relevant industry experience...
IT Project Coordinator - COE/ Data Science,Societe Generale,3-8 Yrs,Bangalore/Bengaluru(Bellandur),3.8,Not disclosed,HOT JOB,20 DAYS AGO,"verbal communication
Excel
PPT
written
Data Science
Project Management
Center Of Excellence
Coe","Problem statement formulation Communication to provide on-time, decision-critical visib..."
"Sr. Data Science Engineer, SMAI",Micron Semiconductor Asia Pte Ltd,5-10 Yrs,Hyderabad/Secunderabad,5.0,Not disclosed,HOT JOB,,"Data Science
R
feature extraction
Hadoop
Statistical Modeling
Tableau
Spark
Machine Learning",Exposure to the semiconductor industry is a plus but not a requirementMinimum 5 years o...
Data Science Advanced Application Engineer,Accenture Solutions Pvt Ltd,12-15 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREMIUM,8 DAYS AGO,"IT Skills
Data Science
Machine Learning
Cloud
Big Data
Computer science
Analytical
Consulting","Technical Experience : 1 Knowledge of Data Extraction using Machine Learning, Deep Lear..."
"Sr. Specialist - Data Science & Engineering, Analytics Solutions, EMEA",Jardine Lloyd Thompson India Pvt Ltd.,5-8 Yrs,Mumbai,4.0,Not disclosed,,,"GIS
Computer science
Process automation
Reinsurance
Claims
Aviation
Risk management
Macros","What can you expect Design, develop, optimize, and maintain data architecture and pipel..."
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Mumbai,4.0,Not disclosed,PREFERRED,6 DAYS AGO,"Business administration
Analyst
Publishing
Architecture
data science
Consulting
Machine learning
Management","You will be required to utilize the existing frameworks, standards, patterns to create ..."
Data Science Advanced Application Engineer,Accenture Solutions Pvt Ltd,12-15 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREMIUM,8 DAYS AGO,"IT Skills
Data Science
Machine Learning
Cloud
Big Data
Computer science
Analytical
Consulting","Technical Experience : 1 Knowledge of Data Extraction using Machine Learning, Deep Lear..."
"Sr. Specialist - Data Science & Engineering, Analytics Solutions, EMEA",Jardine Lloyd Thompson India Pvt Ltd.,5-8 Yrs,Mumbai,4.0,Not disclosed,,,"GIS
Computer science
Process automation
Reinsurance
Claims
Aviation
Risk management
Macros","What can you expect Design, develop, optimize, and maintain data architecture and pipel..."
Senior Analyst-Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Mumbai,4.0,Not disclosed,PREFERRED,6 DAYS AGO,"Business administration
Analyst
Publishing
Architecture
data science
Consulting
Machine learning
Management","You will be required to utilize the existing frameworks, standards, patterns to create ..."
Data Science Manager,Poshmark,7-12 Yrs,Chennai,,Not disclosed,,,"Data Science
Data Scientist
Computer Science
Big Data
Product Managers
Machine Learning
Statistics
Python",7+ years of experience in delivering scalable Machine Learning based solutions in a Big...
"Training and 100% placement on Java,Software testing,Aws& Data science",Magneq software,21 August - 27 August,Hyderabad/Secunderabad(Begumpet),2.6,Not disclosed,WALK-IN,3 DAYS AGO,"Data Science
Java
Software Testing
Aws
IT Skills
Testing
Providing Training",Candidate should possess good technical skills from academicsEligibility Criteria: 2017...
SAS Internship (Data Science),DATA TRAINED EDUCATION PRIVATE LIMITED,0-2 Yrs,Delhi / NCR,4.4,Not disclosed,HOT JOB,6 DAYS AGO,"Data Science
SAS",Paid InternshipGraduate / Post graduateGood communication and interpersonal skills
Analytics Data science and IOT Engineer,Hexaware Technologies Ltd.,4-7 Yrs,Chennai,3.5,Not disclosed,,7 DAYS AGO,"Python
Natural Language
SQL
analytical
Data Analysis
IT Skills
Data Science
Algorithms",To work in GE Shift timings from 1230 to 10 PMUnderstanding the requirement and ability...
Analytics Data science and IOT Engineer,Hexaware Technologies Ltd.,4-7 Yrs,Chennai,3.5,Not disclosed,,7 DAYS AGO,"SQL
analytical
Data Analysis
Natural Language
Python
IT Skills
Data Science
Algorithms",To work in GE Shift timings from 1230 to 10 PMUnderstanding the requirement and ability...
Manager - Data Science & Engineering Unit,Bajaj Finserv,3-4 Yrs,Pune,4.0,Not disclosed,PREMIUM,10 DAYS AGO,"Computer science
Data analysis
data science
Coding
Machine learning
Agile
model development
Fixed deposits",Graduation / Post Graduation in IT / Computer ScienceMandatory to have minimum 3 to 4 y...
Senior Data Scientist / Tech Lead - Data Science,Confidential,6-9 Yrs,"Bangalore/Bengaluru, Delhi / NCR",,Not disclosed,PREMIUM,14 DAYS AGO,"R
AI
machine learning
SAS
Python
SPSS
SQL queries
IT Skills","Education no bar, but preferably from a Statistics academic background (eg MSc-Stats, M..."
Data Science Application Lead,Accenture Solutions Pvt Ltd,6-8 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,15 DAYS AGO,"IT Skills
Python
Data Science
Machine Learning
Big Data
AWS
Tableau
SAS",Educational Qualification : minimum 15 years of full time education Must Have Skills : ...
Director/Senior Manager - Data Science,ExecBoardinAsia,15-20 Yrs,Bangalore/Bengaluru,,Not disclosed,PREMIUM,15 DAYS AGO,"deep learning
Team management
data science
Staffing
Machine learning
Corporate
Strategic planning
Business strategy",Course of actions are guided by corporate goals and strategy onlyBusiness / Market Area...
Senior Data Science Engineer,Siemens Limited,0-5 Yrs,Bangalore/Bengaluru,4.2,Not disclosed,PREMIUM,30+ DAYS AGO,"Data analysis
GIT
Coding
Software configuration management
Consulting
Integration testing
Agile
Unit testing","Responsible for the development and delivery of parts of a product, in accordance to th..."
Data Science Manager,WEN Women Entrepreneur Network,3-8 Yrs,Gurgaon/Gurugram,,Not disclosed,HOT JOB,,"Data Science
Data Analysis
Data Engineering
Associate Data Science
Data Analyst","Key Result Areas :• Selecting features, building and optimizing classifiers using machi..."
Lead Data Science Engineer,System Soft Technologies,5-10 Yrs,Hyderabad/Secunderabad,4.8,Not disclosed,,,"Unix
Solution architecture
data science
Data modeling
Analytical
Consulting
Machine learning
Healthcare",Experience in defining project solution approach leveraging agile methodologies working...
Specialist Design Engineer - Data Science,BT Global Services,6-8 Yrs,Bangalore/Bengaluru,4.2,Not disclosed,PREFERRED,12 DAYS AGO,"Predictive Modeling
Nltk
Tensorflow
R
Pattern Recognition
Artificial Neural Networks
Keras
Spacy",About this roleThe purpose of the Software Engineering Specialist Data Science role is ...
Analytics Data science and IOT Engineer,Hexaware Technologies Ltd.,4-7 Yrs,Chennai,3.5,Not disclosed,PREMIUM,,"T - SQL
Azure Analysis
SAS
DAX
DAX Queries
SSAS
Azure SQL
T-SQL","SAS, SAS, BI/BA Azure Analysis Services Developer : 3+ years of experience in developin..."
Head of Data Science,Beiing.in,10-15 Yrs,Bangalore/Bengaluru,,Not disclosed,PREMIUM,4 DAYS AGO,"NumPy
SciPy
NLP
Pandas
Python
algorithmic engineering
TensorFlow
Elastic Search","Experience in hiring, managing and mentoring data science, data engineering, and analyt..."
Data Science / Lead Data Science,Beiing.in,3-8 Yrs,Bangalore/Bengaluru,,Not disclosed,PREMIUM,6 DAYS AGO,"Pandas
SciPy
Scikit
algorithmic engineering
NLP
machine learning
Python
TensorFlow","Preferably solved problems from scratch to scale.Experience in hiring, managing and men..."
Data Science / Lead Data Science,Beiing.in,5-10 Yrs,Bangalore/Bengaluru,,Not disclosed,PREMIUM,4 DAYS AGO,"Pandas
SciPy
Scikit
algorithmic engineering
NLP
machine learning
Python
TensorFlow","Experience in hiring, managing and mentoring data science, data engineering, and analyt..."
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREFERRED,8 DAYS AGO,"Interpersonal skills
Statistical analysis
Publishing
data science
Architecture
management
Consulting
Management",Skill required: Data Science - Statistical Analysis Designation: Management Level - Tea...
"Opening For Data Science Trainer @ITvedant- Mumbai, Pune, Bangalore",ITVEDANT EDUCATION PRIVATE LIMITED,2-7 Yrs,"Thane, Bangalore/Bengaluru, Mumbai (All Areas)",,"2,00,000 - 4,00,000 PA.",HOT JOB,14 DAYS AGO,"Data Science
Java
Artificial Intelligence
.Net
Machine Learning
Python",Position - IT Trainer Job DescriptionContribute to all phases of the development life-c...
Technical Product Manager- Machine Learning/ Data Science,Eagleview,9-14 Yrs,"Bangalore/Bengaluru
(WFH during Covid)",,Not disclosed,PREMIUM,15 DAYS AGO,"Product owner
Computer Vision
Machine Learning",Primary ResponsibilitiesLeads requirement gathering effort for complex projects deliver...
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Mumbai,4.0,Not disclosed,PREFERRED,,"Business administration
Publishing
Architecture
data science
management
Artificial Intelligence
Consulting
Individual Contributor","You are required to understand the strategic direction set by senior management, clearl..."
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Mumbai,4.0,Not disclosed,PREFERRED,,"IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Business administration
Publishing
Architecture","You are required to understand the strategic direction set by senior management, clearl..."
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Mumbai,4.0,Not disclosed,PREFERRED,,"Business administration
Publishing
data science
Architecture
management
Artificial Intelligence
Machine learning
Consulting","You are required to understand the strategic direction set by senior management, clearl..."
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,7-11 Yrs,Mumbai,4.0,Not disclosed,PREFERRED,,"Business administration
Publishing
data science
Architecture
Process orientation
Artificial Intelligence
Business Economics
Machine learning",Skill required: Data Science - Machine Learning Designation: Management Level - Team Le...
"Architect, Scrum Master, Azure, Data Science",PEPSI FOODS PRIV LIMITED,4-8 Yrs,Hyderabad/Secunderabad,4.5,Not disclosed,,,"Automation
Business objects
MS SQL
SAP
Data modeling
MIS
Oracle
Teradata","Years of experience: Bachelor s degree in Computer Science, MIS, Business Management, o..."
IT Trainer/Faculty For Python/ java/ Data Science/ Web Development,ITVEDANT EDUCATION PRIVATE LIMITED,2-7 Yrs,"Mumbai, Pune, Bangalore/Bengaluru",,Not disclosed,HOT JOB,12 DAYS AGO,"data Science Trainer
IT Faculty
Angularjs
CSS
IT Trainer
Web Development Trainer
HTML
Node.Js",Should be capable of completing the assigned module in the given timeShould possess str...
Associate Data Scientist - Data Science & Data Engineering,Gartner,2-4 Yrs,Gurgaon/Gurugram,3.7,Not disclosed,,4 DAYS AGO,"Data mining
JIRA
TensorFlow
Pytorch
Machine Learning
NLP
SQL
Python","Bachelor s or Master s degree in Data Science, Statistics, Computer Science, or similar..."
Analyst/Senior Analyst/Assistant Manager - Data Science,OCWEN FINANCIAL SOLUTIONS PRIVATE LIMITED,3-8 Yrs,Bangalore/Bengaluru,4.0,Not disclosed,PREMIUM,30+ DAYS AGO,"Python
SQL
Predictive Modeling
R
Risk Analytics
Statistical Modeling
Risk Modeling
MATLAB",SUMMARY:This role will offer exposure to the complete cycle of risk modeling (model dev...
