User_name,when user commented?,Comments body,Number Of Likes,Number of Replies
Carbon Atom · 12 years ago,6 days ago (edited),its just sad they don't get to know and experience how beautiful having a simple life is 😔,66,
Trade Made,2 days ago,"Generally i would agree what is said in this movie,except one single thing-“Taliban sell drugs”-its a total lie!",7,View 4 replies
iamgem,1 week ago,At this point im just ready for aliens to invade us and end humanity. Humans never learn,1.5K,View 89 replies
Alexey Ten,1 day ago,The speed that they gave up their country leads me to believe they didn't really want it anyway. It's like the reverse Alamo. |,1,
lili Jay,20 hours ago,Allah sees everything 🙁he will never support wrong things I wish women will be indipendent again,2,
Bill Stone,15 hours ago,Is it just me or is she smiling half the time when talking about the Taliban? Particularly noticed a half-smirk at the cost of the war.,1,
Martin Lopez-Servin,16 hours ago,"The taliban are a secondary regiment. Why we know this?
Weapons
Fighting skills",2,
HYDRA ZENO,1 week ago,"Ah yes , the YouTube algorithm welcomes u to another episode of “ causes after effects “",1.4K,View 16 replies
Marcello Dantas,6 days ago,"“That escalated quickly…” Burgundy, Ron",150,
Al Son,4 days ago,And this was just 2 months ago 🤦🏾‍♂️.. now they’re controlling the whole of Afghanistan,138,View 5 replies
Lesya Shai,1 day ago,People are more in shock over the fact that they actually heard a Democrat unwillingly tell the truth as opposed to their every day lies. |,1,
Rosee G,3 days ago,“I like fantasy more then a real world”,62,View 4 replies
Jose Martinez,1 week ago,This aged well ...  2 month earlier...  they literally introduce them to us and now we are seeing them with our own eyes. 👀,1.6K,View 40 replies
Giovanni Silvestri,1 day ago,"This presenter has a really sexy voice: she makes the ""brutal talibans"" a ""piece of cake"" to hear.",4,View 4 replies
Mary cooper,1 day ago,"How can this Myorkas guy say the border is secure with a straight face? Lying comes easy for him, that’s how. |",1,
Lizz Scala,1 day ago,They’re gonna be backtracking on a lot of things |,1,
dan heller,1 day ago,"""I wish Joe Biden wouldn't use September 11 as the date to withdraw our troops from Afghanistan, for two reasons. First, we can and should get out earlier. Nineteen years is enough, in fact, far too much and way too long,"" - donald trump |",1,
Maynard Insilay,1 week ago,"""We want to go to Kabul and announce an Islamic government there""

Guess they're not lying.",3.2K,View 77 replies
Nollu Interens,1 day ago,"😉 💛  It’s a fight for the lithium. What uses lithium? Phones, electric cars, and many other devices. |",4,View reply
Endlessness,3 days ago (edited),"the city is safe when the wolves are gone, but when it's around it needs to lead the good way of the city as well as wolves friendly to any guest",24,
You think i'm funny?,1 day ago,"fast forward 3 months and the Taliban are now firmly in control again, this was innevitable tho, and everyone who acts shocked about is just being dishonest.",1,
arta realmblazer,3 days ago,Al Jazerra: “Tried to tell y’all”,3,View reply
Amirul Naufal,1 week ago,"2001 Bush: Taliban will pay
2021: Americans paid USD1 trillion.  -_-",1.2K,View 40 replies
Path To Jannah Club,2 days ago,I love how she tells stories,1,
Keel He,1 day ago,The more I learn about these malicious military groups the more I lose sympathy for the nations that let them rule because if there wasn’t compliance & agreement from the local people ….these groups would have no soldiers,1,
Rosee G,3 days ago,"“In a war, the people who pray the biggest price are the dead soldiers family” 
“Humans should use their brain and learn from their past mistakes”",87,View 7 replies
Purple Kitti Gaming,6 days ago,"He ""wants them out by September 11th""? Why do I get the feeling that's going to come back to haunt us all...",57,View 7 replies
True indian,2 months ago,"I real feel sad for afghans, may God protect them.",782,View 147 replies
berkay kaya,1 day ago,Did he just say “good to be with you OWEN”?!? |,1,
TruQueenIAm,13 hours ago,"What would the government do? RUN 🏃 
TALIBAN IS IN CHARGE NOW - very chaotic, even Biden is lost in space !! Very sad!!",1,
KimyKW,6 days ago (edited),I feel like there are pieces missing to this story...,133,View 9 replies
Dâmaris Débora,6 days ago,"It seems surreal that this is really happening! The news never stop coming, and the panic of the Afghans is palpable! And it all shows that things tend to get worse. 😲",43,View reply
Milo Fungus,1 week ago,"Taliban get stronger because they are unity and committed, while Afghanistan government is becoming weak because corruption",2.7K,View 77 replies
Mac TV,5 days ago,Really the Taliban keeps accurate book keeping and release it to the public? This is such a mind control piece.,2,
,6 days ago,Let's keep PRAYING for Afghanistan!,72,View 9 replies
Right path,2 days ago,They wanted their country back from foreign invasion. Now leave them alone see how they run the country,2,
Mike Huesser,2 days ago,"I lost my cousin in the region who I loved like a brother. Eddie worked for the Harris Corporation and he died ""tending his tomatoe plants "" Hope it was worth it C.I.A.",13,
Fhyem Ud Din,1 month ago,When you make a video ask the people living there. They know more than an analyst,1.1K,View 85 replies
Mimi Vicini,15 hours ago,I didn't know Mel C is now a journalist...😁✌️,2,
Bill Marshall,17 hours ago,May 30 of this year and it's already ancient history.,1,
Chase Cummings,5 days ago,"""Want to know who Americas next enemy is? Look at who we are funding right now."" - Dave Smith",39,View 7 replies
MAKHAZENZI OFFICIAL,4 days ago,BEST HISTORY LESSON EVER,10,
Arya Stark,1 week ago,Praying for the innocent people. And I'm amazed by the narrator's voice.,818,View 24 replies
Site Gopro,1 day ago,This channel is so full of facts great work fellas 👍🆗,2,
Nina Oliveira,23 hours ago,😋 Sleepy creepy joe hasn’t done one thing right since he’s taken office. It’s embarrassing!! | |,3,View reply
he'll yea borther,4 days ago,This just makes me ask where Qatar's interests really lie.,50,View 4 replies
Arief Rakhman,2 days ago,omg it shocking how they collect that amount of money..,2,
Cindy Lin,1 week ago,This was a pretty good summary. I didn’t understand the history and politics but now I’m more aware.,819,View 43 replies
379ToLife,6 days ago,Well this aged like a fine wine……,12,
Question why.,2 days ago,"Bush: the taliban will pay the price 

One trillion US dollars: I’m I a joke to you?",21,
Vathana Prak,5 days ago,"When the West left Afghanistan, the world knew what's what's going to happen next.  The civilians are the ones that will suffer, my heart goes out to them☹️",42,View 11 replies
Muyed Sultan,2 months ago,Media always lie. They only speak truth when it is comfortable for them.,816,View 58 replies
橋本帆乃香,5 days ago,"The Problem is not that the Afghan are using their own resources, the Problem is that people not from Afghanistan steal them.",13,
BTSkimTAEHYUNG ISmyBIAS,4 days ago,This is the time that I wish Superman is real.,27,View 6 replies
Charlie Jones,2 days ago,Afghanistan is a place. Not a nation. Stay the heck out.,6,
Seanut Arbuckle,1 hour ago,"""the taliban is just an idea c'mon man""",,
Vincencia Kgaabi,1 week ago,"Sometimes we don't appreciate our countries enough, I've never felt privileged to be born in South Africa till now, people are suffering out there. Prayers to all the citizens in the country, wars brings nothing but pain and trauma. My heart bleeds for the kids, it is really sad.",724,View 16 replies
Nicks Conan,5 days ago,So the whole time U.S have been in Afghanistan they've basically been prepping the next generation Taliban's 🤦‍♂️. Thank you America/CIA,49,View 5 replies
сергей макаров,6 days ago,Those who have American friends do not need enemies.,27,
Bill Nye,1 day ago,"USA: taliban is bad.

Saved you from wasting your time watching this non sense. If you think otherwise, USA will always label them bad. Period",,
Mystery gal,5 days ago,It sure has worked considering the Taliban is incomplete control of the country now and these women in this video are probably terrified for their lives right at this moment.,7,View reply
NKJ,1 week ago,"Motivational Quote of the day - If you ever feel that you are useless, then just remember USA took 4 Presidents, thousands of lives, trillions of dollar and 20 years to replace Taliban with Taliban.",401,View 21 replies
Alex Diaz,23 hours ago,I saw the video’s photo cover and it almost looked like the Taliban are this new boy band that have gained superstardom and she is about to explain their meteoric rise to fame.,,
nhlanhla cyril Mbatha,3 days ago,If Afghan soldiers were seen praying with the Taliban as early as 2018 - then why any confusion,,
fatma Hussain,1 day ago,That awkward moment when a zombie 🧟‍♂️ looking for brains 🧠 walks right by you |,,
K Siepert,4 days ago,"Very strange he wants them out September 11, exactly 20 years from the first 9-11.  What do they know?",1,
Jiva Ji,1 week ago,"George Bush: ""The Taliban will pay the price""
Reality: ""Nope, you will""",820,View 33 replies
nicodemus. justcool.,6 days ago,I could listen and watch this lady all day. And yes the information is always informative 👍 👌,,
JGP Channel Official,12 hours ago,"Bush : The Taliban will Pay a Price
20 years later US lost $2.26 trillion of debt and thousands of army lives",,
Satch,3 days ago,I know someone else that got rich during this war.,7,
A,5 days ago,Thank you very informative information. I had to start from the beginning. I did not know the whole story how this all started just bits and pieces.,,
Dr. Ali Abbas,2 months ago,Afghanistan is the graveyard of super powers 🪦,584,View 87 replies
megankocher,1 day ago,He's not bragging that got him mad then 20 secs later he said their overpreforming... |,,
Helen Castelino,1 day ago,"Shortly and well explained.......... Thanks! May Afghanistan and world people, animals, plants, creation be in peace, joy, love and happiness. I pray. All boys,  girls, babies adults and elders be protected from all evils , enemies, hells everything and everyone. God be truly honnored, loved, blessed and be protected from all his, his everything's and everyone's enemies.",,
Jesus Love,3 days ago,Thank you for this video. I have had no idea what has been going on in Afghanistan.,,
Big Croint,23 hours ago,Ask the question… is the build back better plan bipartisan? |,,
American Bully,1 week ago,“Why are people afraid they’ll take over Afghanistan again?” Ummm because that’s what they just did,797,View 45 replies
James Leigh Davis,1 day ago,Taliban regime so appealing  that whole families are hanging onto plane landing gears to escape it. Good job religion 👏!,1,
Spellchaos,1 day ago,Biden said he’s getting out the US troops out of afgan,,
Bombo World,1 day ago (edited),"US has nuclear weapons, aircraft carriers, destroyers, stealth fighters, Apache helicopters and thousands of tanks at their disposal.  Taliban has Toyota pickup trucks with a machine gun mounted on the back.  Toyota wins 😂",,
David Bollen,16 hours ago,"The eminent reindeer superiorly melt because cheek histologically sin mid a alike woman. cautious, plausible control",,
Abdulaziz Hassan,2 months ago,when Bush said the taliban will pay the price. little did he know he is the 1 going to pay.,860,View 75 replies
артём мулюков,6 days ago,"Joe has basically been doing nothing the past 8 months but he needed a vacation to continue ,afterwards , doing nothing 👻 |",2,View reply
Jeff A,5 days ago,"the taliban is also afgans, they just rebrand themselves to taliban after the name mujahiddien during USSR invasion",48,View 8 replies
BrownieLockes,1 day ago,"Two universes? Yes, 1 reality-based ours, and 1 Biden's, fantasy! Geez Pinocchio... |",,
Val,1 day ago,I’m trying to educate myself on recent news and such however these comments are really crazy. I’m curious now….. what do you guys think should be done now?,,
prashanth Nakka,1 week ago,America the new Britain. Creating and leaving a mess everywhere we go.,490,View 45 replies
ISRAAD VISUALS,4 days ago,She really predicted the future two months ago,1,
love&peace,3 days ago,"I don't know the politics behind these happenings, but I feel very sad for the Afghanistan civilians. 😭😭",,
Harley 001,5 hours ago,"Taliban even got FDI recorded, mental 😂",,
İdil,3 days ago,"Taliban's vision: ""build a 'purely Islamic' state... with meth and heroin""",22,View 2 replies
Gzar Fronda,1 week ago,"""Peace cannot be kept by force, it can only be achieved by understanding""",724,View 36 replies
jahmare' ferron,1 day ago,well delivered. keep up the great work,,
Maxim Balaganskiy,4 days ago,"""to better understand"" why don't you start with the British invasions which literraly put the region into extreme poverty? All the rest is just continuation of the initial mess",49,View 5 replies
Joseph,21 hours ago,"The Taliban do not embrace education, fairness, and technology and thus they will eventually fail anyway. They are not prepared for the real truth yet.   Their days are numbered, and they will implode under the weight of their own stupidity and arrogance.   It will be fun to watch.",1,
Parzival Gripex,2 days ago,What is their purpose in fighting killing? I really don't know the purpose,,
Tilly Comedy,1 week ago,The fact that this video was made 2 months before this devastation happened. I feel immense sadness for the innocent people.,340,View 9 replies
Phillip Campbell,1 day ago,Well done America. You’ve done it again.,,
Mohsin,4 days ago (edited),"I remember when the Soviet Union invaded Afghanistan, back then the US considered the taliban as freedom fighters. US even hosted their leaders in DC and provided to them funding and training along with Pakistan.

Now when the US is the invader, all of sudden they are now considered terrorists.",10,View 2 replies
ritesh verma,1 day ago,"According to The Holy Korean , the last muslim on earth will fight with himself. Chapter 69 verse 69",1,View reply
Leigh Cecil,2 days ago,Didn't anyone learn anything from the Vietnam war...! Ideology never gave anyone freedom... just puts power in the hands of the insane few...,1,
Yu Shion,1 month ago,The first Taliban was a training camp  sponsored by USA.,563,View 38 replies
CJ Scoots,3 days ago,20 years of state building for a government that lasted for like a month on it's own. Hopefully the next wave of politicians see that these military interventions are costly and usually do more harm than good.,,
Hailey Blundred,16 hours ago,Theres nothing you can say to these people. The more you try the harder they dig in. |,,
Ana Congregado,1 day ago,"Wish they had a clue, they are the GOATS!!! |",,
Ben,1 day ago,"So what exactly have US been doing in Afghanistan, how would it be possible these guys are still in power and have these systems in place? It doesn't seem like US military were doing much if before they even leave the Taliban is already back up and running to this extent shown in the video.",,
Akram SarBakhod,1 week ago,I am from Afghanistan and now living here the whole country in in hand of Taliban!,615,View 110 replies
Levi vloges,6 days ago,"When was the last time libs acted humble and responded to things like this? It's LEGIT the most serious question on the books for America. Being totally honest and sincere here, every crisis they might have to get their hands dirty and make hard decisions, or admit a mistake, they literally CANNOT, they seem literally unable from your senator to your neighbor, and rationalize some effete response every time. I mean our cities got freaking burned to the ground and they even said it was an ""understandable"" thing. Stuck with Russiagate for 4 years, all for their silly pride and they STILL havent uttered a peep about that debacle. We have a serious problem on our hands with these libs, America. |",,
Ankan Biswas,5 days ago,"""SO FAR THEIR STRATEGY HAS WORKED"". Yes, indeed.",1,
black white,1 hour ago,"LMAO people in afghanestan wants the Taliban to come back cuz they hate the US goverment too
exept some people who got payed or brainwashed buy the west",1,
Ram Quiel,6 days ago,actually you can still tell us about the talibans without changing your seat place,1,
HEALTH & FINANCE,1 week ago,"The Lady is a really good Narrator...well summarized,calm and to the point...plus soothing voice.",182,View 7 replies
njctboy,5 days ago,"What I never understand is:
“Did their faith ever allowed them to arm themselves with modern-day weapons?   Why not travel with mules?   What rockets and missiles?”
Inconsistent psychology… reminds me of the Nazis",6,View 3 replies
Crunchy Centar,2 days ago,We need to start a war with the US government,,
gadis xox,13 hours ago,Congrats for taliban!!!!.. yeahhh y’all got the land back🥰….,,
Teyo shariff,3 days ago,"Talibans to america
""You have the watches we have the time""
Dayyum this people really ment that huh",,View reply
G W,1 week ago,"As of right now, Afghanistan has fallen to the Taliban and the president fled.",906,View 28 replies
Information Science Dave,2 days ago,The Taliban was created by the CIA to fight the Soviet Union when they were mired in Afghanistan.,,
Emma's Universe,2 days ago,It a land with no Freedom or Equally. And it Heartbreaking and Scary,,
Mateo,4 days ago,"Watch: ""This is  what winning looks like""",,
Taylor Sams,17 hours ago,🤒  Biden must be Court Martialed. |,1,
Hi K,1 week ago,"It’s so sad. I feel so sorry for the Afghan women. Their freedom, their rights all gone. The Taliban justify it with Islam… They basically go back to medieval times😢",2K,View 310 replies
LibanGacayte7,2 days ago (edited),My uncles should start Business 🥺 this lady journalist is cute ...she shouldn't be Talking about my uncle's .😔,1,
TheDudeAbides,4 days ago,We built that army up and they wouldn't even fight when it came down to it. The people get what they deserve.,,
Danaji DISANAYAKA,2 days ago,All i know is Taliban intimidate their own god,1,
Saarza,1 week ago,"So, no one gonna talk about how CIA funded the militant groups in the 60s-80s that destroyed the Democratic environment in Afghanistan, which indirectly resulted in formation of Taliban?",624,View 30 replies
Anika Elizabeth,3 days ago (edited),If they cut off my hand I'm not stealing. They said why are you here and I was born here and you boss me around 😅😅😅,,
Alex Serrano,1 day ago,😲 😚  The whole Biden Admin should step down |,1,
Baal Simp,5 days ago,The yt recommendations have brought us together again,1,
MMN,6 days ago,"Leo, you are awesome 🌟 love the new look😎 swag like a boss🙌🏻 |",,
Mia abdul,1 month ago,"I pray Afghanistan will be on peace soon. It's so tiring to see innocent people getting killed and suffer, especially women every day.",548,View 50 replies
Gc Vi,3 days ago,"""Taliban just an idea"" - biden",,
Santosh Nayudu,4 days ago,"FOR BHARAT
We HAVE TWO VOLATILE NEIGHBORHOOD

ONE IS AFGANISTAN AND OTHER IS TIBET",1,
shubhayu mukherjee,5 days ago,“Why are people afraid they’ll take over Afghanistan again?” Ummm because that’s what they just did,2,View 2 replies
Isaac Barrera,6 days ago,"Foreign intervention only makes things worst, any lasting change has to come from within even if is painful and slow",10,View reply
/ Anu /,1 week ago,Watching this makes me thank life that I'm living in a peaceful place. Amen 🙏🏼,231,View 21 replies
Baba Ramdev,6 days ago,"Why is al Jazeera still making videos ??
I thought their office was destroyed by Israel. All Jazeera is the worst",2,
Alain Revelo,3 days ago,"As long as there are US presence Iran will support who oppose US. Even they denied it, its obvious. Like Hamas. Mostly against Israel they will give full support.",,
Akris_x X,1 day ago,My boy had a mini stroke 😂. Happens to the best of us |,,
Николай Морозов,1 day ago,She knows that in that story you want to be a sheep right? |,,
Fiat Mirage,1 week ago,"""What happens when the 10,000 us troops leave? Will the afganistan government be able to survive?"" 

Boy, do I got news for you.",455,View 19 replies
Matt Dempski,19 hours ago,This aged well,,
Jon Crandall,4 days ago,Great Job Joey!!,,
Kerrie Murphy,1 day ago,"Pray to Jesus for these people, and all people... God bless who is reading these words",,
Alexa Wolfson,1 day ago,How many Afghans need to be moved out... There are many that I see |,,
The Alfonso Nation,1 week ago,"whose watching after the taliban literally invade kabul, causing the collapse of the afghan government….man what a time to be alive",639,View 14 replies
Melon Lord,22 hours ago,That totally aged like fine wine,,
Site Gopro,1 day ago,I have subscribed journalism at it's best👏,,
dennis bryan,2 days ago,"Kid gloves make enemies, fear is dominance 
If we go back we go to destroy",,
Saqib Qureshi,2 days ago (edited),These are the qualities of US and their allies who your are describing for Talibans. Know the real perpetrators.,,
Victor kolo,2 months ago,Anyone that control the roads in any country controls the country.,342,View 41 replies
Евгений Граблевский,6 days ago,"The Biden ""admin"" struggles to put out a coherent sentence...so how is this news? |",,
nerve navar,5 days ago (edited),"Just once this sort of news about Talibans is enough. I've already learned about them and have no interest to know more about what they are. Hopefully a new idealism will turn things around again. I feel sorry for the Afghans that didn't make it to flee the country. Only Russia can help the cause. Not China, who supports countries with oppression government to protect its own interest. Probably Al-Jazeera support them with Talibans HQ is in Doha.",1,
Yazid J,1 day ago,7:15 all the answers i believe already written in Sharia law,,
Alfonso Del Bonnone,2 days ago,Now... You can't write TALIBAN on the Facebook status,1,
Miakhail Sharif,2 months ago,"We love death as much as you love life "" the Taliban""",307,View 132 replies
Lager,1 day ago,"This is not an easy commandment to live up to for any man. Any comparison to Jesus is one that we can never live up to, but should always be our goal. Love your wives as Jesus loved the church. She will certainly be a lucky woman!",,
Branko Jovanovic,4 days ago,"Very informative, thank you.",,
Bulan Tagi,6 days ago,Action speaks louder than words,1,
Pig Chunk,17 hours ago,Afghanistan has been conquered by past empires I don’t know why people keep saying it hasn’t been conquered,,
RealADEX,1 month ago,"""People may not like them, but the Taliban knows what they want and they are in it for the long haul. Right now their strategy seem to be working""
Very scary statement",181,View 21 replies
JERRY P,2 days ago (edited),"""Who are the Taliban?"" Should have figured it out before going to war with them for over 20 years.",,View reply
larry flounder,1 day ago,JB and Psaki Spin Doctors. Didn't Tim McGraw already make that album? |,,
NikolaTom,3 days ago,"Yes yes, the US have spent a lot of money on their intervention. But wait a minute, how come no one is saying how much they earned exporting the Afghan poppy products (opium and heroin)?",,
quench 0120,5 days ago,Now taliban took over i lets pray for the afghan people specially children and women 💔,1,
Leisure Club ➊,2 months ago,"""Taliban"" Created and funded by united States of America to fight against Soviet union.... Now, America calling same people as ""Terrorists"" as they now fight against American invasion in Afghanistan..... irony...",436,View 35 replies
AMV Labs,3 days ago,"0:24 wow, this barely even had time to not age well",,
Mark Simons,3 days ago,Seems amazingly out of date for just a few months.,,
Badrul Samsudin,6 days ago,"I just want to say, that you're so beautiful 😜",,
Jay Tetteh Quarshie,3 days ago,Is Aljazeera a time traveller?How did they know this was coming?,,
Ajai Abraham,2 months ago (edited),USA initially funded the tribal people against USSR invasion to stop spreading of communism and now they regret....😅,336,View 48 replies
Clarence Marshall,5 days ago,Wow they spoke it in to existence 😭😭😭😭,,
Saleh Nasser,1 day ago,More like God is separated us - the stupid - from the rest of the country. 🤣 |,,
Faisal Salam,1 day ago,"In Arabic, Talib means “Student”. 

One student = Talib

Many students = Taliban

At the tail end of cold war, there was a shortage of teachers since Mujahidin were at war with Russia. Pashtuns started appointing all the wounded fighters as teachers to the madrasas near Afghan/Pakistan border tribes. Mula Umer was one of the appointed teachers bcz he couldn’t fight after losing an eye. ",,
alain guilbault,12 hours ago,Way to go Tabilans ...Now rock this country.,,
K Kodikara,1 week ago,"“To be an enemy of America can be dangerous, but to be a friend is fatal.”

— Henry Kissinger",2.7K,View 162 replies
Kailen Jade Wiggon,1 day ago,This is gonna look like the Fall of Saigon. |,,
Catherine Tee,1 day ago,America is the one trained Taliban with the MI6 to fought the Soviet,,
killer,1 day ago,"Why leave weapons behind????? Humbvees,firearms,etc, etc???? |",,
Floki,1 day ago,Are you really using this royalty free music lol. Why does everything need a soundtrack?,,
Lover Boy,2 months ago,""" Justice has been a huge gap in Afghanistan ""  ..... We see your justice for Palestinians every day ...",347,View 27 replies
NzYG,2 days ago (edited),From one chair to another special effects guys,,
Luke Jo,2 days ago,this aged well,,
Rosee G,3 days ago,“Fake it till you make it”,,
mano aljahdl,17 hours ago,And all the time he laughs at them ! |,,
Abe Mashal,1 week ago,Not one mention of Rambo training them in the 80s.  Unreal.,282,View 17 replies
Anas Sazali,22 hours ago,how can we be sure this isn't another western agenda?,,
Anon Two,2 days ago,Soo where’s ISIL have they gone on vacation,1,
White Lion,3 days ago,This didnt really tackle about who the talibans are..it’s more of an opinion about who the talibans are,1,
Neo's Third Eye,13 hours ago,That's kind of like us citizens taking over for the better 🤔🤔🤔🤐,,
king khan,2 months ago (edited),According to guardian newspaper and UN reports US and their allies martyred more civilians than taliban. So who are real enemies of afghanis?,288,View 46 replies
LVM 3D chanel,4 days ago,"It's time to test the Afghan government officials how to stand and defend thier territory.
They are trained ang given hightech military equipments by U.S they're more advance compared to Taliban but they don't used it. I think leaders belong to the taliban group obviouly.
They let the taliban exist again in just a short period of time inspite of their potential to control the Taliban.",,
Stephen McGuire,3 days ago,"This lady is a cold blooded killer, period!  If you know her never and I mean never turn your back to her.",,
Zen,5 days ago (edited),Biden knows what he’s doing. He knew that pulling his troops away won’t end war but start war.,6,
Harry S Plinkett,4 days ago,"Just like Obama left Tanks, weapons and trucks for ISIS when he withdrew troops Joe Biden leaves Tanks, weapons and trucks for the Taliban when he quickly withdraws troops from Afghanistan.",2,
I.,2 months ago (edited),"You forgot 3 trillion dollar worth of Afghan assets in the form of Lithium, for which the US truly invaded Afghanistan.
Plus a base to spy over Iran and China.",818,View 29 replies
Daniel Sanchez,8 hours ago,"So the stage keeps getting set🤣....this was just released 2 months ago, just right before Taliban take over...",,
Colleen Linehan,17 hours ago,"😴  That would be great if the vaccine magnetized the body , that way I wouldn’t lose my keys so often !! |",,
Jakhari Williams,2 days ago,They point in that sitting position just like the baphomet. And it's no wonder when the god they serve and worship is the god of chaos,,
Erin Key,1 day ago,Dutch Since Channel predicts the Earth Quakes~! But the Mainstream shuns him and persecuted him. |,,
Tagbu Beatz,1 week ago,Why is no nobody talking about how the Talibans are immune to covid 🙄,2K,View 140 replies
TG shorts,2 days ago,Talibaani's are playing real Life GTA 🙂,1,
Test Engineer,5 days ago,Wow this sure aged well.,,
Charlie Brown,1 day ago,"Oversimplified explanation that doesn’t answer many questions. 
Explain the origins of the talibans (name, culture, ethnics, etc.). 
Explain how and why the geopolitics of Afghanistan’s regions management is crucial for understanding the rise of the talibans. 
Explain how the different form of Islam has impacted the power. ",,
Danaji DISANAYAKA,2 days ago,"Afghans, fight for your nation. Somehow find  a way.",,
Dr. St,1 week ago,"This video aged well, unfortunately",251,View 2 replies
faizan Islamic Official,6 days ago,"Thanks for using the word ""Mujahideen""😘👍❤",1,
Rick459 xp,4 days ago,I mean we’ve had decades of this;can we not talk about the taliban?,,
Nikolas C,3 days ago (edited),Disclaimer:Qatar 🇶🇦 is also a highly possible “suspect” as a  main sponsor of tallibans that’s why you had (Al Jazzera) a unique access and acceptance in compare with other state or private foreign channels. Journalists Transparency should be your objective policy not covered political manipulation.SHAME ON YOU,1,View reply
Luke Stewart,4 days ago,"Bc we know American citizens have memory capacity of around 30-45 seconds, here's what the Taliban is...",,
Haleemah Saida,1 week ago,"It's a never-ending war, I pity the civilians.",536,View 22 replies
Tammara Sporysz,6 days ago,"The lewd ash logistically carve because mine unequivocally wish with a damaging cello. painful, skinny innocent",,
Lexie Soucy,1 day ago,Potatoes can’t think logically nor are they able to answer a simple question |,,
Ms. Carla The Best Supervisor!,3 days ago,She is smooth af,,
Gary R,3 days ago,"Funny, 9/11 started a war, now they're pulling out on 9/11.",,
Adam El Meziane,1 week ago,"My prayers for all the civilians, they don't deserve having to deal with the aftermath of a war between nations and/or ideologies",332,View 11 replies
WhiteWing Nolasco,6 days ago,Thank you for making this video.,,
Remixes for DJs,1 day ago,"Pay the price alright......
Yeah right.
More like the American tax payer paid this war.",,
Francesca Heylenbosch,1 day ago,"So, the Orange Kool-Aid kills the mind and then the body. |",,
unos ch,5 days ago,"You mean to say ""they were fighting Us/Ger/Ita/Eng/Aus intruders and  Afghani traitors for 20 year, and now they liberated their homeland from oppressors clutch?!",,
G G,3 weeks ago,"The way she said ""lets talk about the Taliban"" felt like my mom was having an awkward talk with me xD",133,View 2 replies
Kim Larsson,5 days ago (edited),"A new generation gets a crash course in talibanism. So sad.
Some 20 years ago, media asked the same thing. Who are the talibans?",,
Gary Austin,4 days ago,"The trillions of US government money went in a few pockets and none of it, or little of it was rebuilding the country.  Sustaining the military there is where much of the funding was spent.",,
Matt Hamilton,4 days ago,Freedom fighters love them ❤,,
